code,symbol,minorUnit,name,descr
INR,₹,2,Indian Rupee,Official currency of India
USD,$,2,US Dollar,Official currency of the United States
EUR,€,2,Euro,Official currency of the Eurozone
GBP,£,2,British Pound,Official currency of the United Kingdom
JPY,¥,0,Japanese Yen,Official currency of Japan
AUD,$,2,Australian Dollar,Official currency of Australia
CAD,$,2,Canadian Dollar,Official currency of Canada
CHF,Fr,2,Swiss Franc,Official currency of Switzerland
SGD,$,2,Singapore Dollar,Official currency of Singapore
CNY,¥,2,Chinese Yuan,Official currency of China
